,val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,Name
10,222167039,908118684,1163420390,955161567,827855864,822574762,402122017,955428438,1190324544,569903668,1011218901,1040145102,303255817,910138970,601253198,753554625,949841381,1033217576,1134402680,398532169,216704815,1036082882,1264743900,951102932,909942330,874469560,1040117586,Truck
11,246939648,962203669,667036011,567843482,1255991516,1215350590,822502648,886476025,580594099,881378513,1077926674,718557479,828116756,669891526,1088957930,1013785654,640555787,1058340417,1251385052,1072080998,430034492,723642705,952289717,969510115,1333597410,444417251,403375639,Truck
12,4390912,1256829900,362736739,609818121,687938616,403790613,403749347,472966667,1146340010,401468742,816196993,516236055,929295712,403984349,985716182,1037436154,818189679,169201438,836235390,1128191910,940086029,1016941158,433975210,1135762444,252387521,752887898,603793251,Truck
13,916389886,1382678612,1263224240,991487386,652434921,1162529026,1068724337,978771387,1199694646,1142874716,742196152,1015908772,1124035112,1012643621,660200765,829307944,192958835,743741157,301304520,1383011998,874340081,864759024,302850046,743845593,970511052,1072627447,1127702402,Truck
14,970719231,993281935,703007568,1051079254,633614659,681823306,364076864,985212755,680566792,888332127,533145320,355590052,1102615108,952880599,1029747864,592399651,1160861372,851849285,1158451160,651781111,633438507,592052702,653676858,570020230,1019171521,854452431,1061300554,Truck
15,223674367,1468517832,779371360,1289535344,784944315,629845508,229695924,1072574783,1168708186,745019123,730868973,1014240665,720979137,627295014,544105744,802412974,342340166,984947023,554583470,1172315136,1201564238,1119800064,444816650,1001761519,900612271,1082854500,460301864,Truck
16,220135423,986220611,979174942,934583393,1052335118,486981810,982242045,911930923,1050076317,939278981,1252797430,730469621,622082722,383367106,654676103,879105378,669101389,933398459,943347104,907092787,716211466,1155085250,1067934791,1149891312,1012885858,779559213,1138056352,Truck
17,772472831,449099934,897447622,1138506280,870362184,435806323,629342273,749297690,1223648580,1051297334,1148901664,1163575520,563863083,47270926,1047658992,685254402,595709161,609780895,528716025,459462617,1045273086,962028290,1147344144,120094652,518991563,1219619416,1299452062,Truck
18,232521727,404296784,602743034,519624371,1063431318,523418884,1070055008,769870654,954175038,1089857988,805325684,624812940,1067166584,243488889,901133586,631672399,1063104846,904409358,979023701,754197202,931179135,977837899,944564075,1035188500,563975945,420271620,658682018,Truck
19,849936382,797620484,967612551,1030075332,682012049,374096680,936355790,403082810,822668635,481006432,1157866412,1067430657,776799998,698301495,889449198,1021357853,1258429640,721414550,1160381134,163860314,1026333983,543013539,1231945794,1017136704,683764055,1122502428,619848775,Truck
20,89522176,630425979,865155975,588468099,293827705,568533193,671839324,98994844,947216196,896542214,995766646,753576734,822827334,324475354,1369959314,882314643,1358574780,820643371,545473967,686427199,737927183,638159869,1199523858,1233119576,864321148,291926130,1074491636,Truck
21,1007878144,1319296550,1026987647,568112007,1000820248,1077377938,515041816,1324264230,968579305,1091145602,1408454562,46146186,980007187,1080395280,1457473828,515966489,1110967868,999796417,671626793,948243364,600838904,761787016,483770888,946053993,952229529,671222069,957758184,Truck
22,621871103,1082722958,832424388,866579250,610625934,796822427,879000916,1043687362,961602028,673864516,879007516,523313274,565830109,962417758,1078521852,1082377240,917757744,935704338,611027556,1004210003,680376243,822158271,785604420,510141971,922624294,896686361,576428186,Truck
23,319487999,1071942961,419567238,383221243,1317243142,1096466550,1032835040,697590920,883437274,501007242,1240554798,334798970,203816738,1015935175,1039486357,1201389642,1047842151,1240186514,567017972,605017249,862035529,827084623,216018292,674681585,520254404,301915009,1342028852,Truck
24,902758398,799944368,618492747,1344444280,354587420,334013310,1161632916,1089487420,210790357,824593660,632155140,433014830,1038813493,1274995774,1115685418,835177433,149074241,1076219592,949729041,1107908700,334991319,583391312,1124869506,1340441096,1139078036,486901541,946096723,Truck
25,1007419390,433070639,1100633360,955176117,976658681,867652874,915980129,688493938,479910119,935746166,701740854,1037996440,1062084060,207655038,197681367,657122231,1052277601,707169067,429955368,1272111578,1049277007,1352300884,814762254,1065844923,443575209,579610012,959807478,Truck
26,502333439,1130866320,445293294,341799626,528664393,1292923592,377216628,824959467,783207985,438949898,1360254908,962409883,650205387,1065464443,612187644,228407354,1127988126,1395356964,349707766,1139596224,1104040002,231442909,984961095,1002155285,795202343,559919173,914535154,Truck
27,20905984,93747787,971914206,1441845434,958507249,908845855,1093564980,549178101,899284928,1036003867,438342784,679138192,869965494,269178316,1000088609,612252503,758055688,1180623226,386699201,721334038,868278555,841461405,539216434,1056245636,924582783,539042478,647642562,Truck
28,526188542,1321110634,233343566,667676745,579791360,1185288858,1041014816,582093049,683381838,1061521119,879011914,884345484,249795848,328545896,1316448748,630054606,1019021900,621026092,955442212,1181206938,1000269908,722446336,933591677,257713126,723197535,1047394786,578556808,Truck
29,782893056,677289972,889515685,809653503,91347181,1134348696,405524751,877142981,541866779,664945926,631999890,633990530,1018960525,963032767,1111404066,827152187,1072592391,143797341,958664478,1093282454,1197422598,639165031,635589629,1102581246,991345378,539939126,1324275160,Truck
30,734527488,1102362868,560830522,786162119,403635803,485473896,501431486,1172057722,1050347817,1171544566,511173500,524975722,783063772,952961859,1057488400,1106341008,514965756,1059587869,880778541,571517966,903869767,221700223,1288005290,1173837170,633715016,761562784,1113292404,Truck
31,787939328,1127132984,1337943306,827276824,799061245,971429666,1250506526,566291869,1054828847,1232065776,863081921,619787514,987574850,1265160836,982838363,435504067,1173436410,162293344,578274451,408177627,1143011686,188234742,694324527,719621985,394681523,806011512,1343428700,Truck
32,461766655,930311652,1129662164,921817267,1104426140,1077158638,972220017,763722878,876912655,983844317,585459444,1243994894,240806740,1068243782,591558477,1421752514,653338639,1025165519,103047363,921979843,932684963,1032513186,1024224402,914881270,884476448,943823628,402268376,Truck
33,198443007,869553004,911540974,774655509,1054600074,1047709974,1204555402,544491265,914653419,656480072,1254382762,1002229354,1347772568,370336487,1266533776,1167418828,988843754,1075359676,1010337562,783745136,1050524759,910032612,1363303896,638474331,1137888700,764816218,249080864,Truck
34,498728959,969943157,981345405,445673856,114708726,484861504,1119627128,1120201522,1087737904,923048727,1027815693,955026315,1168309818,975535260,538496351,226743375,1235029522,487987173,1219228764,839769759,1059268602,1041743678,987122755,324650061,854390814,795709406,1066789578,Truck
35,790560766,881247616,340687015,672344380,434193632,310793460,899867912,479035065,452164083,1369096858,1405068870,632099900,424621356,801830616,1312580234,823352411,813515171,872127801,1031205841,1100938940,1023780852,886913116,1233883914,392018825,272466458,1156020076,1107309040,Truck
36,722206720,997198818,416636323,556786236,796217557,1176176488,382406988,1087184194,454980016,984613381,1061075106,403690706,481207297,1335411716,1053789621,1152720940,606545953,761685803,869668779,576172528,697957278,1199487906,1034220134,82077894,822408594,682508313,1227356032,Truck
37,551682047,585766578,307235098,61570766,769328016,1130858916,531866059,1444072508,811292470,785486515,398852561,1073105930,993464291,571936086,517275978,1031907817,1137066828,519639225,1072702892,1332547844,523062235,899907858,1093144224,869518035,204909059,851555783,856771835,Truck
38,74252288,1128119412,435250615,874920427,584613861,1052157015,455881719,421839756,1009784158,1363142850,962744175,1053153888,611838419,921964894,869562247,622054148,1236307578,717866888,911173197,605895617,1124707302,250360201,608757647,802472331,858836494,911962924,497672126,Truck
39,727908351,774837890,792816870,1245734608,1041680583,983938479,546257284,566709113,910970361,1044927437,952287965,1338880870,904364167,1095513230,835268593,166339702,868507043,1004288707,673601738,998740732,697616157,764783923,705179603,666527187,744318109,918879655,455575168,Truck
40,78053375,773459648,839027502,759591543,837409749,374716357,698302105,1362392966,987814866,846800306,1007712856,513497863,767796068,679484428,577040745,226429374,906779416,822355298,982618348,152737338,1170839336,465598638,458505239,1118730824,890467430,1476536922,730688962,Truck
41,571080704,1467235828,1325623462,897493973,1023599058,775182391,1099481110,574652424,944557215,562079136,461835314,1011789528,683993710,1334861992,1015520328,1207451380,1069062874,398129260,161923296,522324784,769895498,1074476538,193689299,830941555,726087626,103434017,1148355302,Truck
42,109903871,575259911,286287986,1034113964,669826273,1240224380,359331006,1212307828,775307307,1029626103,313116523,889185005,979460140,1029079157,873440662,1061504019,579239612,1017122434,863515737,1131364344,359217522,907843513,213514548,588640913,734560800,997390382,718099908,Truck
43,896139263,964035453,1046222234,1149079736,542404960,1150647600,1139807634,646496846,977624987,995578628,947597327,1254547548,524035799,303558794,903201130,1082490350,599834612,1310104474,799680407,917522346,1368154216,1158025336,651055846,942634953,253780093,666804044,796796590,Truck
44,872349696,500607527,747393621,729331223,640744705,1057563597,509503300,1089003436,647181140,754209455,527189259,936013733,318860550,249970949,926065343,1159577162,925464231,440153715,747992701,830491558,495287195,882818430,778787246,591478067,643247613,448419708,538848974,Truck
45,26148863,208409106,910498755,1246413340,1064950292,1127125186,1069070123,653545509,208850353,986067005,224789301,1001578399,461105527,629176472,688882699,1018269845,974772848,1113993674,704987371,630352925,1315561576,1111934948,482452998,639627854,735593852,728982902,1036855902,Truck
46,946405375,1117078462,1182402906,1214306134,807776849,983124548,969440415,1022605302,889576962,527170388,983317727,925047830,802629739,945351450,724900975,512523903,1078023624,1171816644,894458053,1243376292,646895767,928441654,763383129,1067689142,886251245,383968341,184692314,Truck
47,479985663,1189531314,802603492,273572070,1008650365,732461140,1373032934,1015776423,817753384,1201331178,694419461,913409858,1089611772,369108456,792992887,115158528,811317901,841712433,1043972318,613343187,916857049,1325518202,877448551,443591653,945531093,261625046,879399379,Truck
48,510328830,1086226052,829014043,1062330795,794332771,944791181,1315520832,1343669874,903145212,1052189061,653525735,337175704,443603143,1072078798,1063157205,973680676,257989649,759191516,819155357,698735339,616608437,1068680002,792876761,683147690,268908882,1280247366,1013662905,Truck
49,1012858878,425707748,864474199,708489903,827791778,548591437,583574948,840198736,1040508859,1053885238,938194751,707991569,321564356,1097782364,943978680,935584353,927199466,940619450,822852232,1120808708,1229109276,1005171393,937705820,920368011,708322772,145138390,682030547,Truck
50,670105599,660647487,1501697144,660552819,1103787168,1051651792,1096116922,631853978,577383502,1216699778,604984483,1196702178,910091337,976327776,830268233,905610377,993700943,1283830000,1143090680,630147936,1308441174,411609672,775810293,765969519,1513768802,639746253,394947414,Truck
51,931004418,887452408,572019023,971763128,1296976978,1171607932,845545239,560271989,868022193,1219074312,779104573,1017518741,1004936966,587359603,640014877,813799610,1076466426,869169838,1035200108,413769150,1109205872,905999801,484416282,563180851,652665062,1111739406,1193372996,Truck
52,410845183,1283006354,625573445,81750308,669206016,619623083,624345168,1162341756,1009055938,716791789,949102381,562812442,952215444,656314860,887545182,865618920,1116694986,1167036580,612933254,1286079520,764100445,1088648860,679064491,559853437,740625533,810676521,363968455,Truck
53,432537600,568602860,504425915,722835347,688072932,741533143,1200928806,381967882,698407638,625570504,889195294,653402321,772778857,1148145180,1151733456,122421625,1041648390,390718844,646789263,232828932,649600972,1338921678,1152042176,360276219,855197486,594596401,459104368,Truck
54,817954817,791531645,737776516,1070214624,1079434556,439397276,1039964062,1261906660,1089992658,643723894,806517595,985740930,974306060,337623433,598021729,858413638,914724648,1122827242,991888588,1052680084,1176776438,1208836036,727081674,778390447,881845599,622253858,318915647,Truck
55,306642944,509429796,770008133,917681056,783670522,994845600,792907278,470696812,1433083012,220829369,1093624344,1181668004,586190956,411102362,522278568,978422708,821231108,892868205,906822521,746279238,538669774,540538536,975022641,680662888,1069002131,633703926,944687089,Truck
56,930283518,1022420564,835881596,630769864,609943223,1080729268,1304617280,612050487,410958032,195954426,705397107,666998043,1080070596,831295648,731989415,582849346,1010125601,507818421,258328709,789804042,388558799,1021827131,655489952,233992949,217227591,591058429,800965876,Truck
57,68550656,923101335,1075860166,957370638,571639990,395024463,1049691235,434340335,334110768,350332748,579566225,1039524292,918765897,982370791,746537094,638679363,620608996,190494946,712063638,1361295768,1296882984,1011015386,836049777,1013599719,594636182,311618108,1031132758,Truck
58,901251071,584830305,654693554,846909866,681639077,335621117,698793759,563325213,639753057,1192211476,837186994,705979182,910186060,646163304,889700508,1221622028,1325124294,699251932,1061043090,1141484594,635612558,1025699158,1239479566,352208384,1310379890,622869276,671996154,Truck
59,1047789567,636642239,540242210,1117456448,1104975194,1069038212,1074749032,1273111134,1027120679,937814391,777786246,1041906533,716933825,982696039,1234701994,1074500366,819001066,806465410,902250299,967861026,951055212,534092246,836005138,536548238,601277651,1061695463,509996276,Truck
60,563609599,697200465,1019328373,334814185,489962430,878000206,440963593,601408415,814474496,1040168909,1454242030,779423280,670397080,1249049128,908354687,1173832316,186536300,901110965,1229838820,1264835936,904288216,644729331,959282353,824306957,1021898970,212520384,1224760954,Truck
61,824705024,1462428460,963801138,1092129412,686670815,964509788,1268498852,635964092,681632509,974141321,876558454,369169831,923785309,1298851464,1291152540,715008260,1151565868,514947063,875261367,882690790,889247012,137762268,1243721978,446789189,520284675,548921169,1242014292,Truck
62,18808832,1159410288,1131768208,1050209350,1284758062,165535769,652592384,755039248,690011066,1084595652,883023177,990614289,703550730,1078579694,979056968,243076433,267485130,800182510,996878042,234073105,1151233172,667347403,1122883958,1222244462,846672274,803651321,1255520338,Truck
63,566951935,431194038,1267894822,1040530305,1039858053,894381362,1073005247,865910410,1039765422,1005032540,1245485368,280170060,1047959433,296586855,1016739981,499531727,618024766,405889810,805479927,1037492220,1236860074,1126386194,579311533,1230742886,1249495448,745771259,791096793,Truck
64,670302208,1165292940,781548922,944944174,264644178,1080455708,979099400,584985969,983824337,1098891964,1040460257,682249192,1227302466,565086687,515598140,1171023280,617446110,1200306440,715728833,1011774244,173872646,858768442,768340471,992385418,456182198,897874922,852388896,Truck
65,171704320,1286432466,423998392,1085385066,636549522,1210801070,1118515964,986097442,1133663854,806943463,351046601,947100695,901616061,573507417,636274678,930730791,972975719,886705209,1335215334,634097747,245266730,1495946654,1079951320,226366214,747421906,43885466,616507105,Truck
66,863633406,926875653,299860471,1020831325,869535529,769686920,565413972,851748208,461477548,789860929,626799132,465610518,479373965,1043880542,349932581,1244460302,998224716,689850310,831792773,324566855,1184898172,1008729963,955029475,872071948,244457300,1093222510,1137575782,Truck
67,1031602176,1340858694,578714082,112014694,448339034,1295732922,362164566,1314187440,1038517914,1141206982,98271772,1074617366,426653237,885200799,1110850392,760140587,776470735,711974522,393780146,793481712,950459371,1305448494,597466304,1193157398,669050616,187326215,635430041,Truck
68,315293695,235061795,1032172467,649875702,1075863028,325725603,607434315,692547842,983390719,1342590180,507896239,267485792,753102850,798433193,1363829836,1313087846,1176394454,883460270,1125987056,946505579,562717194,859811602,1232772772,943318790,584530680,1150255202,574355755,Truck
69,63373311,990305378,1025356476,942807834,863923005,1090785120,1298311866,645479820,719702136,70611246,232629408,800926421,1102496028,1187340756,517905958,409240322,542389196,812014201,613998607,567441232,611197831,479849785,1150839540,1120554692,1004913489,609764337,699203490,Truck
70,328400896,842593727,1047392472,808465883,609710871,1023441945,787991624,858469598,572374917,139545927,1182510452,910312710,799685186,640086611,152722828,944192362,748067333,1421448316,966943575,1143334470,924374602,1379670842,471731499,1138347142,865830310,991430753,1071364023,Truck
71,974061567,1243534970,901759384,587114500,552199767,147441129,503285289,549557750,653752060,924604533,338893446,794573212,469712620,797593665,1205891970,922186935,1092543652,969491239,404263158,947503366,694060509,846386570,418688655,233878949,1298566206,355012952,1112668946,Truck
72,952696832,1012484749,1027064023,576763819,1041684786,607391904,554164328,881475735,760721221,388162906,176151997,1132391822,457723309,160630647,481890897,1019363045,1424116858,945882120,938579075,1095866746,416460608,906589340,461627667,1262655434,235598250,1128357358,814186003,Truck
73,725745663,369097486,1086151678,675809527,981467744,1296777118,907986418,698069586,714160226,964551901,920128209,882411318,1406078896,1222575958,881003622,1212553598,603932972,356537939,1378183172,871314314,772579010,1061176618,806168492,366965486,849739560,989167829,1013286942,Truck
74,872480767,813261582,818136128,452439894,770470186,462630023,967621427,1127367632,897691620,1110175016,626169661,713068597,1028921665,1121272168,978322072,1177200926,224409900,590725103,937405693,306349284,496957971,1130502196,625718995,1138718604,755251378,1180145918,783202490,Truck
75,401211392,1048995356,679105886,186903742,1084130744,572845229,288612812,1271576836,516221788,1076920234,426597846,1118722396,1209463712,987357874,642670296,436960465,587215458,976771730,641546975,1058000828,1155752698,300331110,423121126,779712169,462427184,1155744150,1195279294,Truck
76,552009728,1071456479,410137058,915234998,321039636,1186725128,1187351086,1084436416,355891551,766462959,1301401604,1042068849,1191177556,600029640,601637030,1014908768,1125626084,334113782,826552936,518947612,1109217208,111971310,1025788997,969300447,1039844747,956411327,899162163,Truck
77,274399232,793127338,1010126213,876734693,1193479630,222064468,627302281,352194542,1134903118,931003711,644544031,954490121,746934971,1152312414,1261305580,396670665,724766156,837832215,546464590,641617461,688954172,683495485,580842304,765906289,1090711256,641619588,644884330,Truck
78,235667455,836529183,1050870878,916439004,1028499795,976951659,895197456,464890861,215947444,413753834,785601690,891788333,987394529,667713596,1408386978,626146625,391374623,580475232,880018334,974275565,964861806,1031253588,824234483,576345097,1032105420,1355632600,644373407,Truck
79,786759678,496420574,813508869,521244747,911857049,611090088,888501240,566207883,948488753,1155797646,732727693,691201131,242850427,1131604184,762435100,1219887582,1382918712,651271034,1492105114,255736235,1018123377,1034968954,966814225,1177215202,935695178,1056667122,709294254,Truck
80,284426239,866669491,906153927,480473082,438638670,432134341,724301325,726027888,466229380,1148691538,604505151,421375449,1074479330,980029243,1181278598,801802318,1104232506,661786239,326389798,982499164,1153288008,387345711,100817939,278124410,1305922092,612710479,678213829,Truck
81,713359360,479895301,997201162,1052265465,1185181178,336402055,1264417762,235353321,1205495946,882950668,947136189,1118206050,757858000,847515751,1310949386,598412404,1295740788,1100738896,709619257,1229122242,667049391,1137938950,671212842,1032708100,270289457,838197256,1278085934,Truck
82,657522688,1002157155,1008918188,365268219,660943928,574700300,334147804,1097068664,940987248,367347681,1286050556,991861139,1092484188,905054983,1025736889,1029440833,706193289,453727949,175859686,508904504,521056832,1170760968,945546968,498093204,876035694,1252176718,825138943,Truck
83,145817599,709285063,1006893931,737685156,967594164,700713645,1001350980,986645342,781384910,595625366,1123394790,935663278,1029110293,1045664264,147796670,1051057392,952326517,1075022518,613359231,1051693818,622443877,381100433,812677100,622347677,1086416608,717913428,799769755,Truck
84,110624768,1136728056,545529681,1175269504,869234826,228631843,887594562,990306249,1229374354,900261119,716618606,1032891833,961828352,1004805297,679499559,505620084,1016023105,927762788,266774263,1309899686,935180462,679034107,510024896,1108373358,1240218452,1094489508,515871918,Truck
85,1033568257,757731899,636777208,522547356,718224792,853244711,1054710297,866757171,1106991210,1066483080,488114530,966154869,823757141,681841738,356600237,812892398,508403191,772639212,866412508,392889033,1051851415,569659898,939542833,464496550,697086671,1063626471,1299709692,Truck
86,1060700160,694886478,807358642,126563259,863535441,334558381,480613266,875233022,1008843071,353344417,1161528402,893462055,1157104848,608223697,941864214,690855019,1299151608,984746353,1157186332,954972897,586196354,884779289,1362353556,260785374,973845776,1127236328,507192901,Truck
87,769392640,1005944822,874233870,395198053,967003864,110222073,283308042,511922841,173204524,759788929,549883153,586138170,264539885,929175897,1132061852,515700468,1137296668,890644006,1437914170,656077609,967863913,744384617,739111877,947528199,313072232,402154678,450300427,Truck
88,652738560,662571213,864751853,555543659,365277199,689831763,945237029,66263701,1149254528,813831369,93253444,806375663,586230575,812175575,1004080577,1466716762,1325241666,574378798,1007838611,664809769,927336927,1403209642,1086462408,1235307190,510203912,606696516,323617992,Truck
89,317652991,229477544,1192517766,216523728,126217997,1037798654,845791553,1284475148,630922357,685446648,1240073132,1068176663,662864182,735918516,948182433,954833108,1212536670,981058808,1217475096,926883635,789409240,384803546,385603384,953787065,1485898800,811130841,856053116,Truck
90,603521024,1081030086,654498068,506945735,830602708,639905418,801656312,1039283572,1096953534,1096896476,517042233,950338356,852739259,470087333,1144734990,1116872020,1262768074,403721872,65915534,584263932,735809430,1209591956,585367243,1252923182,488640445,432660241,816407348,Truck
91,804323328,410882069,252735074,439359111,510213193,207676123,701795026,167612640,1154055122,1127226084,1219382144,240313956,840314116,671979582,1167160066,1088354890,348779015,482443127,575313566,1087641422,474576815,885037134,160947296,639114469,652420112,308325584,371405603,Truck
92,604110848,399596861,399906704,861327511,264008138,789254878,847123598,1413654206,1094163296,964164907,1121758008,1136554108,1327441574,219566199,857436805,1296884768,883393209,852879563,451593188,1123626186,1186087122,1166322556,1047872990,1380372532,491217042,1041806406,524549996,Truck
93,390856704,801350912,1158441236,943960593,718467163,896800554,765693614,780947042,1218697274,1357297002,740293350,1058940628,755024661,834753205,363647352,730442677,980692623,1010418472,995878135,380952800,791208708,260563376,540321691,822911914,521850280,959168706,344766490,Truck
94,268828671,319313734,434246770,1137407450,1373354548,995761015,911562812,588575416,751032986,1248009116,908037603,929057679,305925803,850068688,463815618,147381758,759754755,1443778490,124303662,862945736,773687803,926211726,332935087,284712336,1100869128,1000797592,1234782446,Truck
95,72876032,674801805,882380555,883087243,990995103,654047110,992143145,593087674,1075760788,841390630,605239933,330249887,1014835300,454722974,1227801102,673044355,801017238,748517423,799217678,803009821,596880984,690874202,314311739,988436785,721454771,666962290,365018506,Truck
96,247529472,1090066274,556497583,556071114,1040657020,839078830,1271800018,1026940884,1085917262,1062619424,156038009,650588072,908478977,609156006,881943996,171467877,775563473,1192196786,870537047,978073509,980274615,516355493,1112616684,1083590448,319564553,1247401272,1246058244,Truck
97,820772862,284081597,1018920210,664410941,1082601610,624931133,892360823,694465407,414133704,768122825,1000551282,1093033388,898387795,668896351,342182993,1113666200,859689650,1033763739,653890671,938177224,246559841,482134929,246320798,265485555,229105987,630742749,982542707,Truck
98,1032781823,526861666,987693633,786446054,530799134,450962202,972592631,632825071,906327990,465133797,1483561972,916190382,669574108,729539451,774638099,618088057,497797022,1046609388,1056072270,544326896,766346807,1151643208,1035977564,341394001,563149607,1178384968,885377281,Truck
99,578682879,994050696,29809552,408357748,1071994107,422110533,440172354,539188786,182695996,641056535,967273390,1347540824,500101039,806387055,163383620,599865304,1094147182,1472489832,184061003,1131425082,740459211,813657500,1023547031,968481078,290547586,1060173276,593180979,Truck
100,210829311,922734390,758163437,1004059050,315466060,1010512955,653657176,338201742,385829779,252291593,241398246,795030554,871965725,1078580886,1163426498,1194408278,1170220452,465002233,793573068,594447579,1156684430,1203683972,1035704295,1073992812,753869441,1048609203,960221045,Truck
101,482607103,576815189,517208859,686026657,1149738896,978422182,1162539472,461450234,168571389,1119954898,1249650362,1024825840,775264352,964024050,668558581,1246906536,858351389,1013823217,758830009,1084636318,624229498,774265981,269607011,1364335086,948285493,640994610,1412660640,Truck
102,438042623,973621551,147794120,581557346,1369375322,954837719,1139559356,298995673,791339735,921118575,831839000,680319458,989324138,960119349,1064823054,658782963,658179749,451247995,727431698,592637367,233355162,923239353,65789559,1199969208,971752983,307671767,1074091992,Truck
103,814809087,1089273756,737994899,694238124,673479593,1016652633,897410955,1116214466,1175888928,1222838974,723177945,1167446472,551724115,1349748554,714344953,1087746450,699573493,949719817,731572594,766383033,1096563972,988039168,877288810,994199854,880648285,457814451,283294477,Truck
104,227868671,702618501,908410869,1241273348,661154828,229141378,970120551,984075134,475840640,547484595,734737832,1064569729,1016514359,1096372216,310190669,838536758,790608170,1434019600,1290602158,960528896,716055192,867495695,901457577,311436057,1324121898,1403370380,841508475,Truck
105,1032323073,742858237,588164431,881943663,1086323128,324905940,950814855,590411659,1003080007,1086198280,1036038454,736288036,997013393,180301041,896524164,634242688,246552176,1312860280,670876470,250692375,604514031,455722661,823816387,967995403,891015068,326707273,898207730,Truck
106,340328447,690815291,997469902,1384882234,1010501994,792892448,1202847438,631730014,683564564,178613243,999796622,692097354,1112511518,486987521,965897331,384315271,392864742,1153710786,373598422,613668215,831105782,439287942,691005727,790494516,1115866398,1092263394,681869721,Truck
107,841351167,691464001,483854386,1232643876,890130283,105400990,1198775536,936762829,1139022780,548229777,923685328,373912766,433055021,1027554693,1221918598,968585812,814411579,920292488,835248183,1373499956,1381375532,666231629,901641163,558343561,925561431,241154087,970000882,Truck
108,571932671,349568664,1274407196,770197752,1067404757,911260107,872626876,539572749,816743009,478679326,983901860,1166679530,871345149,919866049,1070384706,842593595,787650999,759517961,1065107615,1037402671,459525089,612387479,869510669,347533055,923831532,1099448898,996606430,Truck
109,473169919,990186757,724832815,1047498562,247426791,1000713304,731140821,844320394,632339870,705292070,377089174,1040281464,1057775391,1416995802,1494785522,559550228,517531984,784594337,736414257,978405088,878220466,880740483,879548347,496429896,763138282,188495008,1340647696,Truck
110,582156287,982094882,728026127,916983424,870005962,1101143692,463605160,1042478494,1203049762,1496168582,365933684,1011553353,448131454,1240687214,703716605,895226125,913831067,1229927522,466024234,1116006038,338595585,354020334,1242840272,1304611384,503952213,1187552974,1042775051,Truck
111,1025376255,1164166946,791899869,1161716746,715955324,1430130476,1436214702,537757689,994793956,784603419,733511354,1148475034,1366844708,811007499,628422252,701976422,403241135,1115419430,83678501,977591036,655218771,889480127,283297323,372110142,940269932,866333018,945718275,Truck
112,466812927,1213373638,467555771,1341112040,489145782,666216041,906560364,819009269,885905267,1015989834,1133641578,525744037,532357747,863340598,1068941227,733071956,598278426,562532710,700911182,728812310,550045695,1024208012,1145950628,1162341270,844592394,687098346,789843739,Truck
